year,round,seed1,team1,adj_eff1,adj_off1,adj_def1,barthag1,efg1,to_pct1,orb_pct1,wins1,losses1,three_pct1,opp_three_pct1,seed2,team2,adj_eff2,adj_off2,adj_def2,barthag2,efg2,to_pct2,orb_pct2,wins2,losses2,three_pct2,opp_three_pct2,winner
2015,1,1,Kentucky,28.8,119.6,90.8,0.923,0.527,0.161,0.314,31,4,0.387,0.29,16,Hampton,-6.8,106.2,113.0,0.398,0.447,0.175,0.312,21,16,0.331,0.331,Kentucky
2015,1,8,Cincinnati,11.9,112.8,100.9,0.691,0.512,0.162,0.272,19,19,0.374,0.317,9,Purdue,6.6,114.0,107.4,0.603,0.505,0.183,0.303,23,14,0.37,0.324,Cincinnati
2015,1,5,West Virginia,18.0,117.7,99.7,0.784,0.519,0.17,0.264,22,14,0.337,0.309,12,Buffalo,7.2,112.4,105.2,0.606,0.508,0.159,0.288,22,14,0.352,0.336,West Virginia
2015,1,4,Maryland,18.2,116.3,98.1,0.771,0.507,0.179,0.315,23,13,0.336,0.31,13,Valparaiso,4.9,113.2,108.3,0.57,0.472,0.192,0.305,24,14,0.353,0.319,Maryland
2015,1,6,Butler,16.3,117.1,100.8,0.73,0.498,0.173,0.303,25,13,0.366,0.316,11,Texas,6.2,114.5,108.3,0.579,0.492,0.184,0.329,21,14,0.32,0.315,Butler
2015,1,3,Notre Dame,20.3,118.5,98.2,0.803,0.511,0.162,0.335,28,9,0.366,0.299,14,Northeastern,2.6,110.4,107.8,0.531,0.472,0.158,0.318,21,14,0.351,0.351,Notre Dame
2015,1,7,Wichita State,14.2,114.9,100.7,0.719,0.513,0.152,0.321,24,11,0.352,0.332,10,Indiana,8.6,113.4,104.8,0.613,0.492,0.191,0.325,23,12,0.328,0.316,Wichita State
2015,1,2,Kansas,21.5,118.5,97.0,0.805,0.533,0.169,0.27,28,10,0.355,0.315,15,New Mexico State,1.8,112.4,110.6,0.537,0.491,0.187,0.292,23,15,0.347,0.328,Kansas
2015,1,1,Villanova,25.7,119.2,93.5,0.879,0.535,0.144,0.278,29,6,0.335,0.315,16,Lafayette,-1.6,110.8,112.4,0.459,0.466,0.188,0.277,21,17,0.311,0.354,Villanova
2015,1,8,NC State,8.5,113.3,104.8,0.624,0.481,0.178,0.288,19,16,0.338,0.341,9,LSU,6.4,113.5,107.1,0.608,0.477,0.161,0.303,22,14,0.32,0.316,NC State
2015,1,5,Northern Iowa,18.2,115.6,97.4,0.785,0.531,0.146,0.312,22,14,0.356,0.297,12,Wyoming,3.0,111.1,108.1,0.534,0.482,0.159,0.29,25,12,0.367,0.323,Northern Iowa
2015,1,4,Louisville,17.5,118.8,101.3,0.782,0.517,0.171,0.272,27,8,0.34,0.336,13,UC Irvine,4.5,110.0,105.5,0.571,0.489,0.19,0.273,22,13,0.367,0.314,Louisville
2015,1,6,Providence,14.6,116.5,101.9,0.708,0.494,0.181,0.28,24,13,0.355,0.325,11,Dayton,9.6,112.7,103.1,0.653,0.489,0.166,0.314,18,17,0.333,0.318,Dayton
2015,1,3,Oklahoma,20.7,120.3,99.6,0.83,0.504,0.148,0.281,25,12,0.382,0.33,14,Albany,-0.3,109.6,109.9,0.497,0.472,0.2,0.325,24,13,0.336,0.342,Oklahoma
2015,1,7,Michigan State,14.6,114.3,99.7,0.734,0.5,0.181,0.319,21,16,0.329,0.312,10,Georgia,6.2,113.0,106.8,0.584,0.492,0.19,0.328,21,14,0.317,0.326,Michigan State
2015,1,2,Virginia,21.0,119.5,98.5,0.82,0.512,0.169,0.304,26,10,0.352,0.294,15,Belmont,-0.7,111.1,111.8,0.493,0.465,0.166,0.285,19,18,0.358,0.348,Virginia
