year,round,seed1,team1,adj_eff1,adj_off1,adj_def1,barthag1,efg1,to_pct1,orb_pct1,wins1,losses1,three_pct1,opp_three_pct1,seed2,team2,adj_eff2,adj_off2,adj_def2,barthag2,efg2,to_pct2,orb_pct2,wins2,losses2,three_pct2,opp_three_pct2,winner
2015,1,1,Kentucky,31.74,122.37,90.4,0.98,0.5598,0.1666,0.2805,33,2,0.3808,0.3275,16,Hampton,-3.7,108.08,112.13,0.438,0.4764,0.1975,0.3312,15,14,0.3297,0.3562,Kentucky
2015,1,8,Cincinnati,8.69,114.96,107.22,0.6299,0.5324,0.1553,0.3115,20,11,0.367,0.3006,9,Purdue,9.71,114.69,104.86,0.6568,0.5392,0.1722,0.3035,24,8,0.3232,0.2945,Cincinnati
2015,1,5,West Virginia,18.71,116.86,97.41,0.7689,0.5414,0.1784,0.2691,25,8,0.3869,0.3215,12,Buffalo,6.57,110.04,102.88,0.5813,0.5242,0.1691,0.3073,24,8,0.3687,0.2999,West Virginia
2015,1,4,Maryland,16.08,117.66,101.9,0.7334,0.5152,0.1672,0.2902,24,5,0.3829,0.3093,13,Valparaiso,7.4,115.92,107.81,0.6061,0.5016,0.185,0.281,22,12,0.3318,0.3396,Maryland
2015,1,6,Butler,14.96,115.89,101.35,0.7204,0.5253,0.1637,0.2644,25,8,0.3289,0.3156,11,Texas,8.02,114.47,106.27,0.6389,0.5257,0.1681,0.3133,22,13,0.3216,0.3227,Butler
2015,1,3,Notre Dame,19.25,115.06,95.13,0.7916,0.5443,0.161,0.2924,25,8,0.3619,0.2883,14,Northeastern,1.47,113.35,111.32,0.5228,0.4905,0.164,0.2697,18,15,0.3189,0.3061,Notre Dame
2015,1,7,Wichita State,12.99,115.91,103.15,0.6894,0.5107,0.1791,0.2888,24,9,0.3619,0.3371,10,Indiana,7.03,111.62,105.45,0.5905,0.5297,0.1857,0.2751,21,10,0.3479,0.3057,Wichita State
2015,1,2,Kansas,26.44,118.61,91.3,0.9059,0.562,0.1693,0.2734,27,5,0.3785,0.3016,15,New Mexico State,-2.5,109.77,112.73,0.4676,0.4943,0.197,0.3014,19,12,0.3376,0.3319,Kansas
2015,2,1,Kentucky,31.74,122.37,90.4,0.98,0.5598,0.1666,0.2805,33,2,0.3808,0.3275,8,Cincinnati,8.69,114.96,107.22,0.6299,0.5324,0.1553,0.3115,20,11,0.367,0.3006,Kentucky
2015,2,5,West Virginia,18.71,116.86,97.41,0.7689,0.5414,0.1784,0.2691,25,8,0.3869,0.3215,4,Maryland,16.08,117.66,101.9,0.7334,0.5152,0.1672,0.2902,24,5,0.3829,0.3093,West Virginia
2015,2,6,Butler,14.96,115.89,101.35,0.7204,0.5253,0.1637,0.2644,25,8,0.3289,0.3156,3,Notre Dame,19.25,115.06,95.13,0.7916,0.5443,0.161,0.2924,25,8,0.3619,0.2883,Notre Dame
2015,2,7,Wichita State,12.99,115.91,103.15,0.6894,0.5107,0.1791,0.2888,24,9,0.3619,0.3371,2,Kansas,26.44,118.61,91.3,0.9059,0.562,0.1693,0.2734,27,5,0.3785,0.3016,Kansas
2015,3,1,Kentucky,31.74,122.37,90.4,0.98,0.5598,0.1666,0.2805,33,2,0.3808,0.3275,5,West Virginia,18.71,116.86,97.41,0.7689,0.5414,0.1784,0.2691,25,8,0.3869,0.3215,Kentucky
2015,3,3,Notre Dame,19.25,115.06,95.13,0.7916,0.5443,0.161,0.2924,25,8,0.3619,0.2883,2,Kansas,26.44,118.61,91.3,0.9059,0.562,0.1693,0.2734,27,5,0.3785,0.3016,Notre Dame
2015,4,1,Kentucky,31.74,122.37,90.4,0.98,0.5598,0.1666,0.2805,33,2,0.3808,0.3275,3,Notre Dame,19.25,115.06,95.13,0.7916,0.5443,0.161,0.2924,25,8,0.3619,0.2883,Kentucky
2015,1,1,Wisconsin,27.37,122.25,94.07,0.9186,0.546,0.1522,0.3388,33,4,0.374,0.2853,16,Coastal Carolina,-5.77,110.52,117.03,0.4275,0.4727,0.1896,0.3359,16,16,0.3503,0.3464,Wisconsin
2015,1,8,Oregon,8.94,115.09,107.12,0.6424,0.5038,0.1709,0.3073,22,11,0.3582,0.3004,9,Oklahoma State,12.39,112.46,100.85,0.704,0.5389,0.1683,0.2832,22,11,0.3726,0.3316,Oregon
2015,1,5,Arkansas,16.72,118.15,101.5,0.7706,0.536,0.1636,0.2988,26,8,0.3551,0.3304,12,Wofford,7.45,111.41,104.89,0.6149,0.5323,0.1582,0.2893,23,11,0.3526,0.314,Arkansas
2015,1,4,North Carolina,17.71,114.88,97.33,0.7798,0.5253,0.1708,0.3228,25,9,0.3718,0.334,13,Harvard,4.06,113.46,110.36,0.5446,0.5039,0.1731,0.331,19,11,0.3192,0.2982,North Carolina
2015,1,6,Xavier,17.5,117.3,99.78,0.7626,0.536,0.1595,0.2923,22,7,0.3569,0.3053,11,Ole Miss,5.23,109.92,105.07,0.5761,0.5204,0.1786,0.2997,23,13,0.339,0.329,Xavier
2015,1,3,Baylor,19.57,116.69,96.61,0.7749,0.5521,0.1594,0.3305,28,5,0.3868,0.2864,14,Georgia State,0.95,111.49,110.18,0.506,0.5183,0.185,0.2748,18,15,0.3613,0.327,Georgia State
2015,1,7,VCU,10.3,113.53,103.6,0.6372,0.5258,0.1781,0.2919,22,9,0.3602,0.3197,10,Ohio State,9.95,114.14,104.13,0.6559,0.5076,0.1544,0.3296,23,11,0.3508,0.3211,Ohio State
2015,1,2,Arizona,22.08,120.2,98.15,0.8354,0.5545,0.1476,0.2631,30,7,0.3878,0.2935,15,Texas Southern,-2.87,109.31,112.53,0.4664,0.5059,0.1893,0.3069,20,13,0.3363,0.3168,Arizona
2015,2,1,Wisconsin,27.37,122.25,94.07,0.9186,0.546,0.1522,0.3388,33,4,0.374,0.2853,8,Oregon,8.94,115.09,107.12,0.6424,0.5038,0.1709,0.3073,22,11,0.3582,0.3004,Wisconsin
2015,2,5,Arkansas,16.72,118.15,101.5,0.7706,0.536,0.1636,0.2988,26,8,0.3551,0.3304,4,North Carolina,17.71,114.88,97.33,0.7798,0.5253,0.1708,0.3228,25,9,0.3718,0.334,North Carolina
2015,2,6,Xavier,17.5,117.3,99.78,0.7626,0.536,0.1595,0.2923,22,7,0.3569,0.3053,14,Georgia State,0.95,111.49,110.18,0.506,0.5183,0.185,0.2748,18,15,0.3613,0.327,Xavier
2015,2,10,Ohio State,9.95,114.14,104.13,0.6559,0.5076,0.1544,0.3296,23,11,0.3508,0.3211,2,Arizona,22.08,120.2,98.15,0.8354,0.5545,0.1476,0.2631,30,7,0.3878,0.2935,Arizona
2015,3,1,Wisconsin,27.37,122.25,94.07,0.9186,0.546,0.1522,0.3388,33,4,0.374,0.2853,4,North Carolina,17.71,114.88,97.33,0.7798,0.5253,0.1708,0.3228,25,9,0.3718,0.334,Wisconsin
2015,3,6,Xavier,17.5,117.3,99.78,0.7626,0.536,0.1595,0.2923,22,7,0.3569,0.3053,2,Arizona,22.08,120.2,98.15,0.8354,0.5545,0.1476,0.2631,30,7,0.3878,0.2935,Arizona
2015,4,1,Wisconsin,27.37,122.25,94.07,0.9186,0.546,0.1522,0.3388,33,4,0.374,0.2853,2,Arizona,22.08,120.2,98.15,0.8354,0.5545,0.1476,0.2631,30,7,0.3878,0.2935,Wisconsin
2015,1,1,Villanova,32.51,124.03,92.26,0.9731,0.568,0.1514,0.3052,32,2,0.3591,0.28,16,Lafayette,-4.8,106.3,111.72,0.4086,0.4821,0.1812,0.293,17,14,0.3265,0.3247,Villanova
2015,1,8,NC State,13.28,115.97,102.33,0.7104,0.5447,0.1525,0.2689,20,11,0.3688,0.3281,9,LSU,7.6,112.34,105.69,0.628,0.5179,0.1893,0.265,21,12,0.3519,0.3173,LSU
2015,1,5,Northern Iowa,17.52,115.77,97.66,0.7709,0.533,0.147,0.3245,27,5,0.359,0.3209,12,Wyoming,6.37,109.81,103.74,0.5885,0.5236,0.1864,0.275,23,9,0.3167,0.3532,Northern Iowa
2015,1,4,Louisville,18.89,118.75,99.06,0.7963,0.542,0.157,0.3272,27,7,0.3542,0.3231,13,UC Irvine,7.7,114.03,105.97,0.6063,0.5082,0.1604,0.2965,20,13,0.3428,0.2975,Louisville
2015,1,6,Providence,15.56,114.42,98.38,0.7508,0.5466,0.1666,0.3222,26,8,0.3284,0.3291,11,Dayton,6.7,109.74,103.46,0.5939,0.5133,0.1921,0.3061,19,9,0.3345,0.3178,Dayton
2015,1,3,Oklahoma,21.74,118.03,97.02,0.8334,0.5415,0.1707,0.2727,28,8,0.349,0.3029,14,Albany,1.07,107.84,106.17,0.5256,0.498,0.1614,0.2619,19,15,0.3447,0.3153,Oklahoma
2015,1,7,Michigan State,10.82,114.96,104.22,0.6594,0.521,0.165,0.2756,23,9,0.3295,0.3126,10,Georgia,6.48,114.0,107.17,0.5863,0.4944,0.1852,0.2811,22,10,0.3324,0.3301,Michigan State
2015,1,2,Virginia,22.76,117.65,94.15,0.8421,0.5273,0.163,0.2949,29,5,0.3904,0.3317,15,Belmont,0.19,107.19,106.45,0.4993,0.5073,0.1702,0.2891,19,12,0.3342,0.3136,Virginia
2015,2,1,Villanova,32.51,124.03,92.26,0.9731,0.568,0.1514,0.3052,32,2,0.3591,0.28,9,LSU,7.6,112.34,105.69,0.628,0.5179,0.1893,0.265,21,12,0.3519,0.3173,LSU
2015,2,5,Northern Iowa,17.52,115.77,97.66,0.7709,0.533,0.147,0.3245,27,5,0.359,0.3209,4,Louisville,18.89,118.75,99.06,0.7963,0.542,0.157,0.3272,27,7,0.3542,0.3231,Louisville
2015,2,11,Dayton,6.7,109.74,103.46,0.5939,0.5133,0.1921,0.3061,19,9,0.3345,0.3178,3,Oklahoma,21.74,118.03,97.02,0.8334,0.5415,0.1707,0.2727,28,8,0.349,0.3029,Oklahoma
2015,2,7,Michigan State,10.82,114.96,104.22,0.6594,0.521,0.165,0.2756,23,9,0.3295,0.3126,2,Virginia,22.76,117.65,94.15,0.8421,0.5273,0.163,0.2949,29,5,0.3904,0.3317,Michigan State
2015,3,9,LSU,7.6,112.34,105.69,0.628,0.5179,0.1893,0.265,21,12,0.3519,0.3173,4,Louisville,18.89,118.75,99.06,0.7963,0.542,0.157,0.3272,27,7,0.3542,0.3231,Louisville
2015,3,3,Oklahoma,21.74,118.03,97.02,0.8334,0.5415,0.1707,0.2727,28,8,0.349,0.3029,7,Michigan State,10.82,114.96,104.22,0.6594,0.521,0.165,0.2756,23,9,0.3295,0.3126,Michigan State
2015,4,4,Louisville,18.89,118.75,99.06,0.7963,0.542,0.157,0.3272,27,7,0.3542,0.3231,7,Michigan State,10.82,114.96,104.22,0.6594,0.521,0.165,0.2756,23,9,0.3295,0.3126,Michigan State
2015,1,1,Duke,32.59,120.58,87.06,0.9799,0.5714,0.14,0.3322,33,5,0.3651,0.3166,16,Robert Morris,-2.45,107.94,109.85,0.4574,0.4752,0.1979,0.2907,17,15,0.3633,0.3587,Duke
2015,1,8,San Diego State,10.26,116.66,105.44,0.6607,0.5117,0.1652,0.2821,24,11,0.3223,0.3247,9,St. John's,7.1,110.86,103.57,0.6,0.5233,0.1688,0.3292,23,12,0.3351,0.3163,San Diego State
2015,1,5,Utah,15.94,118.85,103.89,0.7308,0.5424,0.1512,0.3187,27,5,0.3441,0.3087,12,Stephen F. Austin,4.6,109.13,104.72,0.5855,0.4998,0.1732,0.306,23,10,0.3574,0.3208,Utah
2015,1,4,Georgetown,16.39,114.14,97.49,0.7544,0.5213,0.1683,0.2709,24,9,0.3442,0.3278,13,Eastern Washington,3.36,109.14,106.54,0.5453,0.5034,0.1831,0.2976,23,12,0.3457,0.305,Georgetown
2015,1,6,SMU,12.33,114.51,101.31,0.7011,0.5202,0.1633,0.3363,26,6,0.3394,0.3228,11,UCLA,5.14,111.11,105.24,0.5836,0.5213,0.1739,0.3219,23,10,0.3486,0.3304,UCLA
2015,1,3,Iowa State,22.28,118.62,96.65,0.8171,0.5643,0.1752,0.2865,29,4,0.3551,0.3159,14,UAB,4.66,112.17,108.33,0.583,0.522,0.1604,0.2727,22,11,0.3274,0.338,UAB
2015,1,7,Iowa,11.15,112.68,102.16,0.6711,0.5394,0.1491,0.2612,23,7,0.3284,0.3418,10,Davidson,10.08,116.31,106.58,0.6535,0.5144,0.1576,0.2848,21,8,0.3555,0.3495,Davidson
2015,1,2,Gonzaga,23.51,121.41,98.5,0.8465,0.5371,0.14,0.2642,30,4,0.3775,0.3337,15,North Dakota State,-2.87,108.01,111.2,0.447,0.506,0.1637,0.2832,19,16,0.332,0.3201,Gonzaga
2015,2,1,Duke,32.59,120.58,87.06,0.9799,0.5714,0.14,0.3322,33,5,0.3651,0.3166,8,San Diego State,10.26,116.66,105.44,0.6607,0.5117,0.1652,0.2821,24,11,0.3223,0.3247,Duke
2015,2,5,Utah,15.94,118.85,103.89,0.7308,0.5424,0.1512,0.3187,27,5,0.3441,0.3087,4,Georgetown,16.39,114.14,97.49,0.7544,0.5213,0.1683,0.2709,24,9,0.3442,0.3278,Utah
2015,2,11,UCLA,5.14,111.11,105.24,0.5836,0.5213,0.1739,0.3219,23,10,0.3486,0.3304,14,UAB,4.66,112.17,108.33,0.583,0.522,0.1604,0.2727,22,11,0.3274,0.338,UCLA
2015,2,10,Davidson,10.08,116.31,106.58,0.6535,0.5144,0.1576,0.2848,21,8,0.3555,0.3495,2,Gonzaga,23.51,121.41,98.5,0.8465,0.5371,0.14,0.2642,30,4,0.3775,0.3337,Gonzaga
2015,3,1,Duke,32.59,120.58,87.06,0.9799,0.5714,0.14,0.3322,33,5,0.3651,0.3166,5,Utah,15.94,118.85,103.89,0.7308,0.5424,0.1512,0.3187,27,5,0.3441,0.3087,Duke
2015,3,11,UCLA,5.14,111.11,105.24,0.5836,0.5213,0.1739,0.3219,23,10,0.3486,0.3304,2,Gonzaga,23.51,121.41,98.5,0.8465,0.5371,0.14,0.2642,30,4,0.3775,0.3337,Gonzaga
2015,4,1,Duke,32.59,120.58,87.06,0.9799,0.5714,0.14,0.3322,33,5,0.3651,0.3166,2,Gonzaga,23.51,121.41,98.5,0.8465,0.5371,0.14,0.2642,30,4,0.3775,0.3337,Duke
2015,5,1,Kentucky,31.74,122.37,90.4,0.98,0.5598,0.1666,0.2805,33,2,0.3808,0.3275,1,Wisconsin,27.37,122.25,94.07,0.9186,0.546,0.1522,0.3388,33,4,0.374,0.2853,Wisconsin
2015,5,7,Michigan State,10.82,114.96,104.22,0.6594,0.521,0.165,0.2756,23,9,0.3295,0.3126,1,Duke,32.59,120.58,87.06,0.9799,0.5714,0.14,0.3322,33,5,0.3651,0.3166,Duke
2015,6,1,Wisconsin,27.37,122.25,94.07,0.9186,0.546,0.1522,0.3388,33,4,0.374,0.2853,1,Duke,32.59,120.58,87.06,0.9799,0.5714,0.14,0.3322,33,5,0.3651,0.3166,Duke
2016,1,1,Kansas,28.78,123.93,94.46,0.95,0.5694,0.14,0.3084,30,3,0.3867,0.3146,16,Austin Peay,-0.77,111.73,111.51,0.4997,0.4828,0.1754,0.3183,19,18,0.3659,0.3187,Kansas
2016,1,8,Colorado,11.83,112.95,100.37,0.6911,0.5279,0.1815,0.2949,22,11,0.3719,0.2956,9,Connecticut,8.61,112.74,103.89,0.6439,0.5365,0.1811,0.2809,20,9,0.3431,0.3459,Connecticut
2016,1,5,Maryland,15.83,116.82,100.34,0.7518,0.523,0.1497,0.3007,24,7,0.3518,0.2845,12,South Dakota State,5.47,110.39,105.24,0.5792,0.505,0.1779,0.2978,21,10,0.3645,0.2991,Maryland
